interface,direction,clause,service_title,method_name,overload_index,return_type,arguments,exceptions,signature
RTIambassador,federate-initiated,4.16,Request Federation Save,requestFederationSave,2,void,String label; LogicalTime theTime,LogicalTimeAlreadyPassed; InvalidLogicalTime; FederateUnableToUseTime; SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void requestFederationSave(String label, LogicalTime theTime) throws LogicalTimeAlreadyPassed, InvalidLogicalTime, FederateUnableToUseTime, SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.18,Federate Save Begun,federateSaveBegun,1,void,,SaveNotInitiated; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void federateSaveBegun() throws SaveNotInitiated, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.19,Federate Save Complete,federateSaveComplete,1,void,,FederateHasNotBegunSave; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void federateSaveComplete() throws FederateHasNotBegunSave, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.19,Federate Save Complete,federateSaveNotComplete,1,void,,FederateHasNotBegunSave; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void federateSaveNotComplete() throws FederateHasNotBegunSave, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.21,Abort Federation Save,abortFederationSave,1,void,,SaveNotInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void abortFederationSave() throws SaveNotInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.22,Query Federation Save Status,queryFederationSaveStatus,1,void,,RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void queryFederationSaveStatus() throws RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.24,Request Federation Restore,requestFederationRestore,1,void,String label,SaveInProgress; RestoreInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void requestFederationRestore(String label) throws SaveInProgress, RestoreInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.28,Federate Restore Complete,federateRestoreComplete,1,void,,RestoreNotRequested; SaveInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void federateRestoreComplete() throws RestoreNotRequested, SaveInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.28,Federate Restore Complete,federateRestoreNotComplete,1,void,,RestoreNotRequested; SaveInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void federateRestoreNotComplete() throws RestoreNotRequested, SaveInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
RTIambassador,federate-initiated,4.30,Abort Federation Restore,abortFederationRestore,1,void,,RestoreNotInProgress; FederateNotExecutionMember; NotConnected; RTIinternalError,"void abortFederationRestore() throws RestoreNotInProgress, FederateNotExecutionMember, NotConnected, RTIinternalError"
